C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P150333602,No,Si,No,No
2024,P151240105,No,Si,No,No
2024,P151240106,No,Si,No,No
2024,P151240114,No,Si,No,No
2024,P151240130,No,Si,No,No
2024,P130270003,No,Si,No,No
2024,P130280008,No,Si,No,No
2024,P130280056,No,Si,No,No
2024,P130400037,No,Si,No,No
2024,P130470021,No,Si,No,No
2024,P130480239,No,Si,No,No
2024,P130490001,No,Si,No,No
2024,P130590009,No,Si,No,No
2024,P150333692,No,Si,No,No
2024,P150335080,No,Si,No,No
2024,P150394328,No,Si,No,No
2024,P150400007,No,Si,No,No
2024,P150450027,No,Si,No,No
2024,P150541674,No,Si,No,No
2024,P150560013,No,Si,No,No
2024,P150572390,No,Si,No,No
2024,P130590017,No,Si,No,No
2024,P130600061,No,Si,No,No
2024,P130730022,No,Si,No,No
2024,P130760816,No,Si,No,No
2024,P151240142,No,Si,No,No
2024,P160030015,No,Si,No,No
2024,P160080044,No,Si,No,No
2024,P160080170,No,Si,No,No
2024,P100340593,No,Si,No,No
2024,P110040507,No,Si,No,No
2024,P110140001,No,Si,No,No
2024,P110170366,No,Si,No,No
2024,P150590001,No,Si,No,No
2024,P150640020,No,Si,No,No
2024,P150661012,No,Si,No,No
2024,P150720001,No,Si,No,No
2024,P160102014,No,Si,No,No
2024,P160140001,No,Si,No,No
2024,P160380031,No,Si,No,No
2024,P160430974,No,Si,No,No
2024,P150720011,No,Si,No,No
2024,P150740161,No,Si,No,No
2024,P150771237,No,Si,No,No
2024,P150800017,No,Si,No,No
2024,P130800011,No,Si,No,No
2024,P130810001,No,Si,No,No
2024,P130840036,No,Si,No,No
2024,P130840088,No,Si,No,No
2024,P110170405,No,Si,No,No
2024,P110201028,No,Si,No,No
2024,P110279999,No,Si,No,No
2024,P110370190,No,Si,No,No
2024,P150800018,No,Si,No,No
2024,P150800022,No,Si,No,No
2024,P150800033,No,Si,No,No
2024,P150800034,No,Si,No,No
2024,P140190165,No,Si,No,No
2024,P140191481,No,Si,No,No
2024,P140210046,No,Si,No,No
2024,P140310001,No,Si,No,No
2024,P160520000,No,Si,No,No
2024,P160520091,No,Si,No,No
2024,P160530001,No,Si,No,No
2024,P160530014,No,Si,No,No
2024,P150800079,No,Si,No,No
2024,P150820057,No,Si,No,No
2024,P150840001,No,Si,No,No
2024,P150850031,No,Si,No,No
2024,P160840001,No,Si,No,No
2024,P160920001,No,Si,No,No
2024,P161021714,No,Si,No,No
2024,P161120052,No,Si,No,No
2024,P170070106,No,Si,No,No
2024,P170080474,No,Si,No,No
2024,P170120578,No,Si,No,No
2024,P170230001,No,Si,No,No
2024,P150870020,No,Si,No,No
2024,P150880001,No,Si,No,No
2024,P150880009,No,Si,No,No
2024,P150880012,No,Si,No,No
2024,P180060001,No,Si,No,No
2024,P180190467,No,Si,No,No
2024,P190040002,No,Si,No,No
2024,P190061403,No,Si,No,No
2024,P150880031,No,Si,No,No
2024,P150880039,No,Si,No,No
2024,P150880040,No,Si,No,No
2024,P150880042,No,Si,No,No
2024,P140390005,No,Si,No,No
2024,P140430033,No,Si,No,No
2024,P140610204,No,Si,No,No
