C601,C602,C003,C006,C101,C102,C103,R001 0501
2024,P11,NA,757,P206,P01,P01,1
2024,P11,NA,845,P206,P01,P01,8
2024,P11,NA,444,P206,P01,P01,1421
2024,P11,NA,724,P206,P01,P01,1
2024,P11,NA,962,P206,P01,P01,130
2024,P11,NA,481,P206,P01,P01,110
2024,P11,NA,221,P206,P01,P01,402
2024,P11,NA,984,P206,P01,P01,83
2024,P11,NA,644,P206,P01,P01,193
2024,P11,NA,279,P206,P01,P01,2
2024,P11,NA,987,P206,P01,P01,32
2024,P11,NA,767,P206,P01,P01,3
2024,P11,NA,846,P206,P01,P01,3
2024,P11,NA,869,P206,P01,P01,2
2024,P11,NA,777,P206,P01,P01,1640
2024,P11,NA,821,P206,P01,P01,24
2024,P11,NA,248,P206,P01,P01,256
2024,P11,NA,562,P206,P01,P01,386
2024,P11,NA,565,P206,P01,P01,52
2024,P11,NA,244,P206,P01,P01,164
2024,P11,NA,429,P206,P01,P01,36
2024,P11,NA,231,P206,P01,P01,176
2024,P11,NA,878,P206,P01,P01,70
2024,P11,NA,991,P206,P01,P01,18
2024,P11,NA,773,P206,P01,P01,210
2024,P11,NA,923,P206,P01,P01,56
2024,P11,NA,317,P206,P01,P01,38
2024,P11,NA,393,P206,P01,P01,33
2024,P11,NA,483,P206,P01,P01,3
2024,P11,NA,597,P206,P01,P01,1
2024,P11,NA,428,P206,P01,P01,7
2024,P11,NA,485,P206,P01,P01,6
2024,P11,NA,457,P206,P01,P01,1
2024,P11,NA,891,P206,P01,P01,3
2024,P11,NA,826,P206,P01,P01,15
2024,P11,NA,983,P206,P01,P01,210
2024,P11,NA,441,P206,P01,P01,32
2024,P11,NA,225,P206,P01,P01,20
2024,P11,NA,626,P206,P01,P01,1
2024,P11,NA,374,P206,P01,P01,45
2024,P11,NA,961,P206,P01,P01,682
2024,P11,NA,417,P206,P01,P01,41
2024,P11,NA,447,P206,P01,P01,27
2024,P11,NA,324,P206,P01,P01,23
2024,P11,NA,779,P206,P01,P01,145
2024,P11,NA,641,P206,P01,P01,3
2024,P11,NA,764,P206,P01,P01,45
2024,P11,NA,917,P206,P01,P01,28
